"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue"
"RPL10",6.46800733082727e-07,0.107575340133115,6.8464084652999e-09,0.88933340848336,2.06414916340732e-08,0.0967189937396727,9.26082679867999e-08,0.804841618305295,2.17031943740715e-07,0.000594577792254462,4.72899004400062e-08,2.14696268157766e-05
"AEBP1",1.17719827447179e-09,0.00155924942967142,5.01608845377105e-11,0.939761570348187,2.83574618355238e-08,0.622315587839373,4.15734599905565e-05,0.167063628384887,0.00300134494819835,1.24113420802865e-05,4.80291473259342e-10,3.61149371800227e-07
"WFDC2",8.07580515215948e-07,0.0351420453225796,3.77616198932318e-10,0.875815536320987,6.61604452607364e-11,0.853757648574214,5.57251633960966e-09,0.288402270818406,5.37229741974532e-07,0.275856499703752,5.57242696430649e-10,4.12565577410777e-07
"MIF",1.07554632658333e-07,0.0382326421452931,1.21526796538615e-12,0.802553088210177,4.65443371201245e-15,0.554059004935022,2.4727461141067e-14,0.594836450428042,4.1889741008693e-12,0.115181706878576,3.93018950717305e-14,6.27352857974695e-11
"TAGLN2",0.00267835625497099,0.158060384505537,0.000121875296900849,0.616760941036114,1.47921589538157e-05,0.667518460904226,5.20827942661315e-05,0.207573077670611,0.000524778082633047,0.734426535857532,0.000102783747885749,0.0199450316597269
"C16orf89",0.00169801616274437,0.283951568212396,3.77893824510558e-05,0.770313413817196,5.54957152164904e-06,0.887567501373572,1.24166269589356e-05,0.4560939187546,6.99080129414057e-05,0.440897300640283,3.31039648560072e-05,0.00777120046998328
"GSS",0.014631983876559,0.0389240137664586,0.000162047141612963,0.382150302028999,4.02796586005651e-05,0.599511543471266,0.000247457999185105,0.891209449448129,0.00159046555617032,0.193020465351882,0.000279664971093885,0.0467312659769682
"LUM",3.17645638886474e-19,0.022387307730505,2.50425889842314e-27,0.989075456820408,1.36160081191743e-28,0.968044737570269,6.05141760430894e-25,0.841512079162021,1.02381416939395e-20,0.269665292448169,5.55e-17,1.90777392487626e-13
"HLA.A",0.000995135973921631,0.00357421286631875,3.4023578353317e-05,0.759712280609721,2.66289004850028e-05,0.567252452993997,0.000385174750375195,0.188649226384337,0.0033046716848691,0.19341174050941,0.00014058131386685,0.0261209997487238
"B2M",9.56043757228514e-29,0.000777212795187324,1.10325447841542e-39,0.999693553014656,8.35613574160352e-42,0.991384728614164,2.66704760926133e-37,0.67818060098656,1.38705231521894e-30,0.000487544103631497,5.55e-17,1.90777392487626e-13
"CST4",1.17336519676806e-10,0.00318264207166611,1.28582596684188e-12,0.998306614017075,2.54049397647777e-11,0.731027519830353,8.58848842533668e-08,0.0577454962604186,3.47125083128067e-05,0.362913149755379,1.21122001317531e-11,1.1657756907365e-08
"CRABP2",0.00034988169729611,0.301932367028666,1.49831591560419e-05,0.98959538685248,2.66006503266513e-05,0.451019094146928,0.000350901846993174,0.45564845741052,0.00249392008483348,0.0913861800422988,9.06114851748629e-05,0.0183218048448241
"RPL19",1.95471888891071e-05,0.0132422756853227,1.14401481707752e-07,0.900786822636265,6.57669920947134e-08,0.213987928029693,1.62513671685953e-06,0.253857341119112,4.96817700074667e-05,0.174918964948657,4.05958850535626e-07,0.000149132630970971
"RPL29",1.34221945463723e-14,0.014360747933921,2.83426132781409e-20,0.988652545944684,5.62182888704204e-21,0.693733379410437,4.29996264770962e-19,0.337124474302595,1.67859644059662e-16,0.000697459147249432,5.55e-17,1.90777392487626e-13
"GNB2L1",1.27027908341415e-05,0.00515154162453632,7.10664506627498e-08,0.588360085535545,1.24579779860742e-07,0.680086847739357,1.17972194391973e-06,0.559458349034327,5.3950281595218e-06,0.00466019964718162,4.30840170428937e-07,0.000155892962149562
"SAT1",1.92497221785144e-05,0.00614496135360579,1.87533672627148e-08,0.967014707144242,5.18377714708241e-09,0.364018105153252,2.59972626434722e-07,0.604729352661733,1.63125382286353e-05,0.0803732419325395,3.99691055807949e-08,1.86741385337334e-05
"ATP5B",0.00127094245679861,0.0134267614483228,5.00006948873435e-05,0.818487522314157,5.59262331208109e-05,0.288903577207952,0.00197134845436326,0.760390268162071,0.0596087365339757,0.0972516900527297,0.000254649411422947,0.0433030216749052
"PAPSS2",0.00220107700145727,0.0330751478019777,2.59102416679719e-05,0.87580979794229,1.24622762971774e-05,0.529514557401503,0.000115979614538243,0.8742625925856,0.000696681149798006,0.110541783788146,7.72963736445087e-05,0.016386840383941
"GPC3",2.68695460721766e-06,0.00164206565836878,1.29737750196004e-07,0.854948462926105,2.9842656665611e-06,0.572849949765515,0.00014889206863973,0.107297404021449,0.00177593866951888,0.00094338410811125,1.18707517438033e-06,0.000388617943294847
"PPP1R1B",2.02800232511614e-09,0.0185938297286158,7.52231387835296e-13,0.966556357862546,5.33085926476499e-13,0.840720653915974,1.48476624233084e-10,0.518486935014938,3.53960137840095e-08,0.225497651034879,3.11284331644401e-12,3.32894568002887e-09
"SPDEF",0.000871679432587182,0.211973603649311,1.62161333436495e-06,0.931909622728093,1.07197142597537e-07,0.77627938114496,6.46003928113891e-07,0.58931777468079,1.0094492895634e-05,0.424381265082533,8.62555886493865e-07,0.00029027736163323
"SQLE",0.000205557838515708,0.00281667925928258,6.8166544951987e-06,0.910885063831407,9.16990014029584e-05,0.785619966541634,0.00538589138046802,0.714711207608866,0.0422201402493531,0.0131402297810935,6.13149036212679e-05,0.01341236396961
"RPS14",7.53812336949356e-05,0.658606657019291,1.58050569318977e-05,0.970320554278676,2.28913633744936e-06,0.27147778228259,2.34091686399145e-07,0.441882117434958,1.53629765212439e-07,0.0192343705809001,8.85395434413461e-07,0.000293853749881315
