,x,y,total_counts
18.946x20.962,18.946,20.962,493
26.997x20.955,26.997,20.955,4459
15.989x20.983,15.989,20.983,628
24.046x20.982,24.046,20.982,556
25.964x20.984,25.964,20.984,2107
13.905x21.008,13.905,21.008,2702
14.877x21.028,14.877,21.028,687
24.985x21.028,24.985,21.028,1310
20.964x21.73,20.964,21.73,737
21.88x21.822,21.88,21.822,888
20.018x21.924,20.018,21.924,421
17.893x21.953,17.893,21.953,453
18.957x21.952,18.957,21.952,355
24.12x21.952,24.12,21.952,2087
16.919x21.976,16.919,21.976,498
23.026x21.989,23.026,21.989,804
24.951x21.959,24.951,21.959,715
15.97x21.986,15.97,21.986,724
14.981x22.004,14.981,22.004,583
25.921x21.976,25.921,21.976,3432
13.918x22.022,13.918,22.022,941
21.874x22.847,21.874,22.847,833
20.985x22.91,20.985,22.91,734
17.898x22.932,17.898,22.932,662
18.963x22.952,18.963,22.952,544
19.952x22.955,19.952,22.955,694
23.099x22.977,23.099,22.977,1931
15.984x22.97,15.984,22.97,435
16.933x22.967,16.933,22.967,423
26.021x22.977,26.021,22.977,806
24.088x22.99,24.088,22.99,1445
24.957x23.019,24.957,23.019,1202
21.894x23.851,21.894,23.851,778
18.937x23.952,18.937,23.952,1111
20.925x23.924,20.925,23.924,499
20.019x23.934,20.019,23.934,392
24.055x23.946,24.055,23.946,583
23.094x23.975,23.094,23.975,842
24.981x23.964,24.981,23.964,697
21.874x24.852,21.874,24.852,974
23.096x24.93,23.096,24.93,738
24.076x25.951,24.076,25.951,625
